# Minimal Consistent Family (Some Pareto fronts)
# RPEB RPEC 
w   x1     y1     x2     y2     x3     y3     x4     y4     x5     y5     x6     x6     x7     y7     x8     y8      x9     y9
0.1 0.0579 5.1620 0.0582 4.5057 0.0661 4.6130 0.0902 6.1874 0.1389 8.1087 0.0951 6.6003 0.1462 8.6056 0.1590 12.0962 0.1036 11.5795
0.2 0.1103 4.5835 0.1016 4.0958 0.1060 4.2404 0.1574 5.3478 0.2289 6.5808 0.1636 5.7867 0.2306 7.1246 0.2996 9.8504  0.1645 11.2761
0.3 0.1706 3.9666 0.1498 3.6450 0.1531 3.8307 0.2295 4.7551 0.3125 5.2843 0.2382 5.0521 0.3223 5.7301 0.4475 7.5854  0.3160 10.2359
0.4 0.2320 3.3373 0.2040 3.1628 0.2118 3.3983 0.2944 4.4395 0.3834 4.6346 0.3113 4.5195 0.4066 4.5213 0.5718 5.5666  0.4864  8.8214
0.5 0.2896 2.7439 0.2602 2.6887 0.2752 2.8948 0.3499 4.3203 0.4400 4.5512 0.3766 4.2799 0.4742 3.7446 0.6567 4.3016  0.6573  7.1267
0.6 0.3409 2.4472 0.3148 2.5546 0.3412 2.3324 0.3962 4.2797 0.4861 4.5600 0.4336 4.1387 0.5244 3.3328 0.6979 3.8078  0.8136  5.3813
0.7 0.3857 2.3970 0.3655 2.5275 0.4074 1.7426 0.4345 4.3490 0.5219 4.7051 0.4821 4.0739 0.5599 3.3728 0.7143 3.5650  0.9343  4.3329
0.8 0.4218 2.4983 0.4106 2.6468 0.4715 1.4524 0.4670 4.4933 0.5495 4.8761 0.5226 4.1725 0.5845 3.5259 0.7214 3.6177  0.9941  3.9132
0.9 0.4498 2.6197 0.4491 2.7996 0.5248 1.4912 0.4930 4.6303 0.5708 5.0268 0.5558 4.3022 0.6016 3.6598 0.7251 3.6662  1.0181  4.0016
1.0 0.4713 2.7748 0.4808 2.9528 0.5656 1.7019 0.5138 4.7546 0.5875 5.1567 0.5827 4.4302 0.6138 3.7719 0.7273 3.7011  1.0287  4.0718














































































































