# vanilla European 3yr Put on 5yr Bond HW prices ( a = 10 * sigma = .1 ; K = .85 ; lowest dimension consistent HW)
step  EFD CN HWT eEFD eCN eHWT tEFD tCN tHWT
0.50 4.136535762870379 5.008615186714218 5.823056901851702 0.142140123367170 0.038716997141218 0.207620860016963 0.000918020589890  0.002496913145052 0.001363316291523
0.40 2.783934539470782 2.891011863535557 3.690864613779631 0.422650769269049 0.400444424327735 0.234566109480850 0.002700489139542  0.002123190477272 0.001400174261051
0.25 4.839313573869151 4.787760514905940 5.653719492081584 0.003606201771659 0.007085184290851 0.172502640863960 0.000830590057520  0.002942637427725 0.002182334660935
0.20 4.119010101182217 4.839884027925577 4.727931281418829 0.145774701389839 0.003724505993965 0.019492933625206 0.001010594094753  0.015068052240600 0.003750084109029
0.10 4.733601409377157 4.833137546524274 5.041498522765552 0.018317028097086 0.002325379760227 0.045536542825189 0.001365030615687  0.010407662000419 0.004875966503820
0.05 4.670441835009124 4.821063588895632 4.821160503793549 0.031415443723486 0.000178590807306 0.000158492007940 0.002406482545394  0.164056108115568 0.011229680437118
0.04 4.799366106963153 4.821165738922183 4.922532954018951 0.004678346216389 0.000157406315210 0.020864741593693 0.003436362786994  0.541929583277796 0.021580769740121
0.02 4.828359343960599 4.822206873751295 4.904739208161820 0.001334447130418 0.000058510540647 0.017174566650000 0.005971848225739  2.002172905878032 0.028107630413996
0.02 4.826801714751827 4.822345890186535 4.887827652588207 0.001011416537314 0.000087340612191 0.013667345678222 0.007573455576075  4.536461746356311 0.033581038889015
0.01 4.824590626525732 4.821954265617412 4.854999260785698 0.000552867649646 0.000006123133650 0.006859194665836 0.022284499809496 20.087705252817813 0.089999875711498
















																 
							    
   
   
   
   
   
   
   
							    
							    
							    





 
   
   
   

   
   
   
   
   

 
 
 
 

