# TSIR Sample Basic Stats
# S1 S2
 x       rateS1 99conflevelS1 rateS2 99conflevelS2
 0.0833  6.6957 0.0098 5.5101 0.6441	
 0.2500	 6.7351 0.0741 5.3113 0.6323
 0.5000	 6.8119 0.1107 5.1243 0.6280
 0.7500	 6.8188 0.1634 5.0258 0.5941
 1.0000	 6.8275 0.1961 5.0109 0.5532
 2.0000	 6.8430 0.2614 5.1391 0.4336
 3.0000	 6.8561 0.2649 5.3102 0.3663
 4.0000	 6.8708 0.2566 5.4497 0.3267
 5.0000	 6.8910 0.2477 5.5614 0.3023
 6.0000	 6.9151 0.2374 5.6523 0.2857
 7.0000	 6.9377 0.2282 5.7412 0.2724
 8.0000	 6.9557 0.2183 5.8036 0.2678
 9.0000	 6.9747 0.2140 5.8658 0.2641
10.0000	 6.9921 0.2129 5.9283 0.2623












































