# MOO tseries comparison 
# col 0 dates | col 1,2 MC | col 3,4 ANS | col 5,6 NS
t capMC  bondMC  capANS  bondANS capNS  bondNS
  1 3.2647 0.3688  5.2995 0.0487  5.9338 0.0177 
  2  3.1299 0.3262  5.3951 0.0510  5.3582 0.0569 
  3  3.1128 0.3282  5.6412 0.0395  6.0609 0.0292 
  4  3.1160 0.3868  5.8286 0.0418  6.2458 0.0286 
  5  2.6199 0.3142  5.2750 0.0349  5.4637 0.0294 
  6  2.6376 0.3570  5.2083 0.0353  5.5462 0.0269 
  7  2.4654 0.4691  5.6628 0.0290  5.7839 0.0275 
  8  2.1005 0.4584  5.5127 0.0264  5.5955 0.0258 
  9  2.5915 0.3986  5.7068 0.0308  5.8850 0.0278 
 10  2.4203 0.3937  5.4350 0.0474  5.7648 0.0264 
 11  2.3970 0.3857  5.6255 0.0265  5.7855 0.0270 
 12  2.6137 0.3371  5.7390 0.0247  5.7707 0.0237 
 13  2.5858 0.3538  6.0004 0.0271  6.0770 0.0260 
 14  2.7348 0.3556  5.5784 0.0564  6.4953 0.0381 
 15  2.5569 0.3494  5.8978 0.0310  6.0608 0.0292 
 16  2.8146 0.2789  5.5892 0.0361  5.6447 0.0352 
 17  3.1462 0.2834  5.8007 0.0320  5.8989 0.0299 
 18  3.1621 0.2859  5.6488 0.0461  5.9546 0.0338 
 19  3.2358 0.3013  6.1716 0.0324  6.1704 0.0330 
 20  2.5628 0.3682  5.4855 0.0578  5.6948 0.0296 
 21  2.9382 0.3235  5.5580 0.0524  5.9360 0.0386 
 22  2.9234 0.3870  5.5329 0.0567  6.1672 0.0368 
 23  2.7749 0.3696  5.6683 0.0407  6.0488 0.0336 
 24  2.7420 0.2924  5.0973 0.0484  5.4284 0.0366 
 25  2.8629 0.3225  5.0000 0.0466  5.1176 0.0673 
 26  2.9318 0.3259  5.6960 0.0397  6.0370 0.0323 
 27  2.4296 0.3142  5.3765 0.0368  5.7815 0.0264 
 28  2.6674 0.3053  5.2435 0.0404  5.2979 0.0608 
 29  2.7234 0.3188  5.4275 0.0502  5.4718 0.0663 
 30  2.6545 0.3474  5.9794 0.0390  6.4297 0.0249 
 31  2.6736 0.3310  5.6822 0.0454  6.2154 0.0202 
 32  2.0053 0.4312  5.4672 0.0265  5.8903 0.0358 
 33  2.1482 0.4583  5.0636 0.0366  5.5243 0.0225 
 34  2.0982 0.4715  5.1159 0.0393  5.4263 0.0297 
 35  2.1701 0.3830  5.0751 0.0307  5.3028 0.0277 
 36  2.5275 0.3655  5.1516 0.0280  5.4284 0.0312 
 37  1.9547 0.4523  5.2502 0.0250  5.2866 0.0268 
 38  2.3463 0.4253  5.8188 0.0364  5.9412 0.0329 
 39  2.1111 0.3986  5.4090 0.0396  5.6212 0.0408 
 40  2.4591 0.3908  5.6945 0.0365  5.8331 0.0369 
 41  2.8453 0.3599  6.0752 0.0453  6.3106 0.0438 
 42  2.8466 0.4393  5.1544 0.0458  5.3970 0.0449 
 43  1.9517 0.3602  4.6866 0.0410  4.9037 0.0380 
 44  1.8631 0.3762  4.8416 0.0523  5.1408 0.0475 
 45  2.2308 0.3160  4.5326 0.0443  4.7103 0.0419 
 46  1.9421 0.3655  4.3955 0.0481  4.6825 0.0451 
 47  2.0005 0.3844  4.6108 0.0463  4.8728 0.0435 
 48  2.0761 0.3971  4.7449 0.0408  5.0752 0.0479 
 49  1.3138 0.4323  5.1946 0.0352  5.2256 0.0349 
 50  1.8489 0.5672  6.5848 0.0361  6.5384 0.0341 
 51  2.0036 0.5145  6.5969 0.0364  6.5523 0.0388 
 52  1.9903 0.5150  6.6354 0.0349  6.7472 0.0445 
 53  1.7943 0.5108  5.9710 0.0332  5.9967 0.0340 
 54  1.9393 0.5564  6.1992 0.0258  6.3081 0.0359 
 55  1.9016 0.5499  6.0163 0.0338  6.0961 0.0624 
 56  1.9029 0.5305  5.9277 0.0311  5.3701 0.0686 
 57  1.9011 0.5313  6.0162 0.0369  5.9105 0.0363 
 58  1.8994 0.5357  5.9973 0.0322  6.0309 0.0482 
 59  1.3983 0.5510  5.2356 0.0334  5.6530 0.0569 
 60  1.6026 0.4728  4.9622 0.0409  5.1722 0.0659 
 61  1.4524 0.4715  4.9281 0.0352  4.9842 0.0455 
 62  1.4968 0.5135  4.8551 0.0471  4.7225 0.0448 
 63  1.3645 0.5182  4.5977 0.0422  4.7239 0.0636 
 64  1.3650 0.5199  4.6468 0.0336  4.6773 0.0363 
 65  1.2117 0.5198  4.4575 0.0348  4.2993 0.0417 
 66  1.1867 0.5210  4.4166 0.0404  4.5172 0.0604 
 67  1.2136 0.5013  4.3694 0.0382  4.4485 0.0501 
 68  1.8781 0.4332  4.6378 0.0458  4.6549 0.0484 
 69  1.7920 0.4413  4.7850 0.0345  4.5782 0.0733 
 70  1.8019 0.4742  5.0615 0.0358  4.9548 0.0380 
 71  2.0124 0.4820  5.6987 0.0333  5.9705 0.0504 
 72  2.5139 0.4653  6.3692 0.0396  6.4070 0.0458 
 73  2.5478 0.5314  6.5660 0.0363  6.5549 0.0390 
 74  2.5358 0.4780  6.5203 0.0310  6.5714 0.0332 
 75  2.8147 0.4799  6.5657 0.0312  6.6266 0.0362 
 76  2.4835 0.5459  6.4708 0.0319  6.8746 0.0481 
 77  2.5109 0.5624  6.5946 0.0308  6.6704 0.0373 
 78  3.2092 0.4360  7.0633 0.0368  7.1235 0.0425 
 79  3.6135 0.4444  7.4728 0.0368  7.5229 0.0425 
 80  3.3703 0.4504  7.6313 0.0375  7.6832 0.0386 
 81  3.3923 0.4370  7.3775 0.0363  7.3987 0.0400 
 82  4.0358 0.4073  7.1090 0.0343  7.2967 0.0343 
 83  4.0358 0.4073  7.1090 0.0343  7.2967 0.0343 
 84  4.0358 0.4073  7.1090 0.0343  7.2967 0.0343 
 85  4.3883 0.4310  7.6614 0.0479  8.1064 0.0409 
 86  4.2797 0.3962  7.2470 0.0428  7.5351 0.0406 
 87  3.3083 0.7040 10.3578 0.0367 10.7541 0.0356 
 88  3.3083 0.7040 10.3578 0.0367 10.7541 0.0356 
 89  3.2342 0.7624 10.0833 0.0393 10.5039 0.0390 
 90  3.7743 0.4386  6.5526 0.0429  6.9614 0.0331 
 91  3.4959 0.3911  5.7082 0.0495  5.8866 0.0476 
 92  4.1246 0.4157  6.9638 0.0549  7.5446 0.0390 
 93  4.3789 0.4191  7.2680 0.0511  7.9149 0.0367 
 94  4.0887 0.4450  7.1627 0.0617  7.9380 0.0483 
